Comunidades y ciudades autónomas;País de residencia;Meses;Total
Galicia;Total;Enero;121.683
Galicia;Total;Febrero;147.368
Galicia;Total;Marzo;173.536
Galicia;Total;Abril;275.286
Galicia;Total;Mayo;342.928
Galicia;Total;Junio;365.093
Galicia;Total;Julio;463.334
Galicia;Total;Agosto;630.950
Galicia;Total;Septiembre;439.837
Galicia;Total;Octubre;333.424
Galicia;Total;Noviembre;186.778
Galicia;Total;Diciembre;167.354
Galicia;Residentes en España;Enero;105.476
Galicia;Residentes en España;Febrero;129.189
Galicia;Residentes en España;Marzo;147.056
Galicia;Residentes en España;Abril;204.276
Galicia;Residentes en España;Mayo;209.214
Galicia;Residentes en España;Junio;234.163
Galicia;Residentes en España;Julio;340.620
Galicia;Residentes en España;Agosto;479.843
Galicia;Residentes en España;Septiembre;286.817
Galicia;Residentes en España;Octubre;232.581
Galicia;Residentes en España;Noviembre;156.078
Galicia;Residentes en España;Diciembre;143.794
Galicia;No residentes en España;Enero;16.207
Galicia;No residentes en España;Febrero;18.179
Galicia;No residentes en España;Marzo;26.479
Galicia;No residentes en España;Abril;71.011
Galicia;No residentes en España;Mayo;133.714
Galicia;No residentes en España;Junio;130.931
Galicia;No residentes en España;Julio;122.714
Galicia;No residentes en España;Agosto;151.107
Galicia;No residentes en España;Septiembre;153.019
Galicia;No residentes en España;Octubre;100.843
Galicia;No residentes en España;Noviembre;30.700
Galicia;No residentes en España;Diciembre;23.560
Galicia;Unión Europea (sin España);Enero;8.662
Galicia;Unión Europea (sin España);Febrero;11.435
Galicia;Unión Europea (sin España);Marzo;17.457
Galicia;Unión Europea (sin España);Abril;51.631
Galicia;Unión Europea (sin España);Mayo;89.853
Galicia;Unión Europea (sin España);Junio;90.122
Galicia;Unión Europea (sin España);Julio;85.654
Galicia;Unión Europea (sin España);Agosto;120.662
Galicia;Unión Europea (sin España);Septiembre;105.179
Galicia;Unión Europea (sin España);Octubre;60.259
Galicia;Unión Europea (sin España);Noviembre;19.074
Galicia;Unión Europea (sin España);Diciembre;17.069
Galicia;Alemania;Enero;576
Galicia;Alemania;Febrero;1.286
Galicia;Alemania;Marzo;2.748
Galicia;Alemania;Abril;8.767
Galicia;Alemania;Mayo;19.399
Galicia;Alemania;Junio;17.856
Galicia;Alemania;Julio;12.088
Galicia;Alemania;Agosto;15.148
Galicia;Alemania;Septiembre;20.269
Galicia;Alemania;Octubre;10.858
Galicia;Alemania;Noviembre;4.092
Galicia;Alemania;Diciembre;1.221
Galicia;Austria;Enero;109
Galicia;Austria;Febrero;83
Galicia;Austria;Marzo;152
Galicia;Austria;Abril;830
Galicia;Austria;Mayo;3.033
Galicia;Austria;Junio;2.274
Galicia;Austria;Julio;1.612
Galicia;Austria;Agosto;1.549
Galicia;Austria;Septiembre;2.234
Galicia;Austria;Octubre;1.261
Galicia;Austria;Noviembre;264
Galicia;Austria;Diciembre;108
Galicia;Bélgica;Enero;159
Galicia;Bélgica;Febrero;169
Galicia;Bélgica;Marzo;434
Galicia;Bélgica;Abril;908
Galicia;Bélgica;Mayo;2.278
Galicia;Bélgica;Junio;2.012
Galicia;Bélgica;Julio;3.319
Galicia;Bélgica;Agosto;2.336
Galicia;Bélgica;Septiembre;2.970
Galicia;Bélgica;Octubre;1.009
Galicia;Bélgica;Noviembre;387
Galicia;Bélgica;Diciembre;137
Galicia;Dinamarca;Enero;43
Galicia;Dinamarca;Febrero;72
Galicia;Dinamarca;Marzo;211
Galicia;Dinamarca;Abril;829
Galicia;Dinamarca;Mayo;1.527
Galicia;Dinamarca;Junio;1.648
Galicia;Dinamarca;Julio;2.206
Galicia;Dinamarca;Agosto;1.285
Galicia;Dinamarca;Septiembre;2.444
Galicia;Dinamarca;Octubre;1.067
Galicia;Dinamarca;Noviembre;247
Galicia;Dinamarca;Diciembre;142
Galicia;Finlandia;Enero;253
Galicia;Finlandia;Febrero;230
Galicia;Finlandia;Marzo;155
Galicia;Finlandia;Abril;601
Galicia;Finlandia;Mayo;1.065
Galicia;Finlandia;Junio;1.158
Galicia;Finlandia;Julio;742
Galicia;Finlandia;Agosto;720
Galicia;Finlandia;Septiembre;662
Galicia;Finlandia;Octubre;873
Galicia;Finlandia;Noviembre;88
Galicia;Finlandia;Diciembre;66
Galicia;Francia;Enero;1.103
Galicia;Francia;Febrero;1.517
Galicia;Francia;Marzo;2.213
Galicia;Francia;Abril;5.329
Galicia;Francia;Mayo;16.030
Galicia;Francia;Junio;13.859
Galicia;Francia;Julio;10.525
Galicia;Francia;Agosto;17.190
Galicia;Francia;Septiembre;15.699
Galicia;Francia;Octubre;10.099
Galicia;Francia;Noviembre;1.941
Galicia;Francia;Diciembre;1.543
Galicia;Grecia;Enero;..
Galicia;Grecia;Febrero;..
Galicia;Grecia;Marzo;41
Galicia;Grecia;Abril;152
Galicia;Grecia;Mayo;151
Galicia;Grecia;Junio;622
Galicia;Grecia;Julio;369
Galicia;Grecia;Agosto;407
Galicia;Grecia;Septiembre;182
Galicia;Grecia;Octubre;333
Galicia;Grecia;Noviembre;77
Galicia;Grecia;Diciembre;58
Galicia;Irlanda;Enero;210
Galicia;Irlanda;Febrero;274
Galicia;Irlanda;Marzo;616
Galicia;Irlanda;Abril;4.752
Galicia;Irlanda;Mayo;6.068
Galicia;Irlanda;Junio;5.803
Galicia;Irlanda;Julio;4.585
Galicia;Irlanda;Agosto;4.811
Galicia;Irlanda;Septiembre;7.590
Galicia;Irlanda;Octubre;3.692
Galicia;Irlanda;Noviembre;334
Galicia;Irlanda;Diciembre;182
Galicia;Italia;Enero;712
Galicia;Italia;Febrero;1.079
Galicia;Italia;Marzo;1.310
Galicia;Italia;Abril;7.435
Galicia;Italia;Mayo;10.729
Galicia;Italia;Junio;12.412
Galicia;Italia;Julio;17.174
Galicia;Italia;Agosto;32.760
Galicia;Italia;Septiembre;13.790
Galicia;Italia;Octubre;8.750
Galicia;Italia;Noviembre;2.349
Galicia;Italia;Diciembre;1.416
Galicia;Luxemburgo;Enero;..
Galicia;Luxemburgo;Febrero;24
Galicia;Luxemburgo;Marzo;65
Galicia;Luxemburgo;Abril;91
Galicia;Luxemburgo;Mayo;572
Galicia;Luxemburgo;Junio;125
Galicia;Luxemburgo;Julio;334
Galicia;Luxemburgo;Agosto;265
Galicia;Luxemburgo;Septiembre;101
Galicia;Luxemburgo;Octubre;191
Galicia;Luxemburgo;Noviembre;..
Galicia;Luxemburgo;Diciembre;..
Galicia;Países Bajos;Enero;196
Galicia;Países Bajos;Febrero;298
Galicia;Países Bajos;Marzo;403
Galicia;Países Bajos;Abril;1.468
Galicia;Países Bajos;Mayo;3.639
Galicia;Países Bajos;Junio;4.315
Galicia;Países Bajos;Julio;3.570
Galicia;Países Bajos;Agosto;2.989
Galicia;Países Bajos;Septiembre;4.609
Galicia;Países Bajos;Octubre;1.993
Galicia;Países Bajos;Noviembre;366
Galicia;Países Bajos;Diciembre;308
Galicia;Polonia;Enero;507
Galicia;Polonia;Febrero;469
Galicia;Polonia;Marzo;562
Galicia;Polonia;Abril;756
Galicia;Polonia;Mayo;1.547
Galicia;Polonia;Junio;1.181
Galicia;Polonia;Julio;2.944
Galicia;Polonia;Agosto;3.022
Galicia;Polonia;Septiembre;2.372
Galicia;Polonia;Octubre;1.405
Galicia;Polonia;Noviembre;261
Galicia;Polonia;Diciembre;218
Galicia;Portugal;Enero;3.606
Galicia;Portugal;Febrero;4.686
Galicia;Portugal;Marzo;5.905
Galicia;Portugal;Abril;15.300
Galicia;Portugal;Mayo;10.979
Galicia;Portugal;Junio;15.271
Galicia;Portugal;Julio;16.383
Galicia;Portugal;Agosto;28.333
Galicia;Portugal;Septiembre;18.311
Galicia;Portugal;Octubre;10.888
Galicia;Portugal;Noviembre;5.427
Galicia;Portugal;Diciembre;10.293
Galicia;Reino Unido;Enero;578
Galicia;Reino Unido;Febrero;820
Galicia;Reino Unido;Marzo;1.860
Galicia;Reino Unido;Abril;2.914
Galicia;Reino Unido;Mayo;9.450
Galicia;Reino Unido;Junio;8.173
Galicia;Reino Unido;Julio;6.690
Galicia;Reino Unido;Agosto;6.702
Galicia;Reino Unido;Septiembre;9.311
Galicia;Reino Unido;Octubre;5.296
Galicia;Reino Unido;Noviembre;2.372
Galicia;Reino Unido;Diciembre;779
Galicia;República Checa;Enero;122
Galicia;República Checa;Febrero;43
Galicia;República Checa;Marzo;139
Galicia;República Checa;Abril;152
Galicia;República Checa;Mayo;472
Galicia;República Checa;Junio;210
Galicia;República Checa;Julio;359
Galicia;República Checa;Agosto;357
Galicia;República Checa;Septiembre;706
Galicia;República Checa;Octubre;263
Galicia;República Checa;Noviembre;134
Galicia;República Checa;Diciembre;47
Galicia;Suecia;Enero;32
Galicia;Suecia;Febrero;45
Galicia;Suecia;Marzo;182
Galicia;Suecia;Abril;510
Galicia;Suecia;Mayo;1.468
Galicia;Suecia;Junio;1.102
Galicia;Suecia;Julio;1.226
Galicia;Suecia;Agosto;716
Galicia;Suecia;Septiembre;2.235
Galicia;Suecia;Octubre;786
Galicia;Suecia;Noviembre;194
Galicia;Suecia;Diciembre;78
Galicia;Noruega;Enero;91
Galicia;Noruega;Febrero;98
Galicia;Noruega;Marzo;147
Galicia;Noruega;Abril;574
Galicia;Noruega;Mayo;1.261
Galicia;Noruega;Junio;1.006
Galicia;Noruega;Julio;1.019
Galicia;Noruega;Agosto;710
Galicia;Noruega;Septiembre;1.264
Galicia;Noruega;Octubre;943
Galicia;Noruega;Noviembre;204
Galicia;Noruega;Diciembre;61
Galicia;Rusia;Enero;514
Galicia;Rusia;Febrero;196
Galicia;Rusia;Marzo;308
Galicia;Rusia;Abril;437
Galicia;Rusia;Mayo;1.202
Galicia;Rusia;Junio;1.440
Galicia;Rusia;Julio;697
Galicia;Rusia;Agosto;1.194
Galicia;Rusia;Septiembre;1.087
Galicia;Rusia;Octubre;705
Galicia;Rusia;Noviembre;112
Galicia;Rusia;Diciembre;269
Galicia;Suiza;Enero;198
Galicia;Suiza;Febrero;161
Galicia;Suiza;Marzo;359
Galicia;Suiza;Abril;1.338
Galicia;Suiza;Mayo;2.292
Galicia;Suiza;Junio;2.571
Galicia;Suiza;Julio;2.524
Galicia;Suiza;Agosto;2.567
Galicia;Suiza;Septiembre;3.043
Galicia;Suiza;Octubre;2.195
Galicia;Suiza;Noviembre;818
Galicia;Suiza;Diciembre;439
Galicia;Resto de Europa sin U.E.;Enero;755
Galicia;Resto de Europa sin U.E.;Febrero;458
Galicia;Resto de Europa sin U.E.;Marzo;992
Galicia;Resto de Europa sin U.E.;Abril;1.243
Galicia;Resto de Europa sin U.E.;Mayo;1.524
Galicia;Resto de Europa sin U.E.;Junio;2.241
Galicia;Resto de Europa sin U.E.;Julio;2.069
Galicia;Resto de Europa sin U.E.;Agosto;2.309
Galicia;Resto de Europa sin U.E.;Septiembre;2.451
Galicia;Resto de Europa sin U.E.;Octubre;2.458
Galicia;Resto de Europa sin U.E.;Noviembre;904
Galicia;Resto de Europa sin U.E.;Diciembre;842
Galicia;Japón;Enero;850
Galicia;Japón;Febrero;632
Galicia;Japón;Marzo;417
Galicia;Japón;Abril;656
Galicia;Japón;Mayo;2.144
Galicia;Japón;Junio;1.755
Galicia;Japón;Julio;1.425
Galicia;Japón;Agosto;1.607
Galicia;Japón;Septiembre;1.425
Galicia;Japón;Octubre;1.465
Galicia;Japón;Noviembre;598
Galicia;Japón;Diciembre;335
Galicia;Estados Unidos;Enero;431
Galicia;Estados Unidos;Febrero;658
Galicia;Estados Unidos;Marzo;1.747
Galicia;Estados Unidos;Abril;3.928
Galicia;Estados Unidos;Mayo;12.552
Galicia;Estados Unidos;Junio;12.129
Galicia;Estados Unidos;Julio;9.751
Galicia;Estados Unidos;Agosto;6.073
Galicia;Estados Unidos;Septiembre;14.029
Galicia;Estados Unidos;Octubre;11.640
Galicia;Estados Unidos;Noviembre;2.059
Galicia;Estados Unidos;Diciembre;759
Galicia;Resto de América;Enero;3.219
Galicia;Resto de América;Febrero;2.525
Galicia;Resto de América;Marzo;3.185
Galicia;Resto de América;Abril;7.260
Galicia;Resto de América;Mayo;13.598
Galicia;Resto de América;Junio;11.056
Galicia;Resto de América;Julio;11.837
Galicia;Resto de América;Agosto;9.774
Galicia;Resto de América;Septiembre;14.820
Galicia;Resto de América;Octubre;11.235
Galicia;Resto de América;Noviembre;3.506
Galicia;Resto de América;Diciembre;2.594
Galicia;Países africanos;Enero;213
Galicia;Países africanos;Febrero;144
Galicia;Países africanos;Marzo;294
Galicia;Países africanos;Abril;286
Galicia;Países africanos;Mayo;763
Galicia;Países africanos;Junio;1.062
Galicia;Países africanos;Julio;588
Galicia;Países africanos;Agosto;372
Galicia;Países africanos;Septiembre;611
Galicia;Países africanos;Octubre;468
Galicia;Países africanos;Noviembre;230
Galicia;Países africanos;Diciembre;173
